gene,total_wt1_IFNb,total_wt1,total_wt2_IFNb,total_wt2,total_wt3_IFNb,total_wt3,total_wt4_IFNb,total_wt4
ENSMUSG00000026064,13,17,18,18,20,7,6,11
ENSMUSG00000117091,0,0,0,0,0,0,0,0
ENSMUSG00000086726,0,0,0,0,0,0,0,0
ENSMUSG00000086727,0,0,0,0,0,0,0,0
ENSMUSG00000100237,0,0,0,0,0,0,0,0
ENSMUSG00000098529,0,0,0,0,0,0,0,0
ENSMUSG00000100910,1,0,0,0,0,0,0,0
ENSMUSG00000099796,0,0,0,0,0,0,0,0
ENSMUSG00000050217,0,0,0,0,0,0,0,0
ENSMUSG00000026063,0,0,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0,0,0
ENSMUSG00000094215,0,1,0,0,1,0,0,0
ENSMUSG00000101093,0,0,0,0,0,0,0,0
ENSMUSG00000070960,2,2,1,0,2,0,0,0
ENSMUSG00000088620,0,0,0,0,0,0,0,0
ENSMUSG00000082159,0,0,0,0,0,0,0,0
ENSMUSG00000026058,0,2,0,1,0,0,0,1
ENSMUSG00000064688,4,13,1,1,4,18,1,0
ENSMUSG00000103482,0,0,0,0,0,0,0,0
ENSMUSG00000104498,0,0,0,0,0,0,0,0
ENSMUSG00000104313,0,0,0,0,0,0,0,0
ENSMUSG00000102865,0,0,0,0,0,0,0,0
ENSMUSG00000102321,0,0,0,0,0,0,0,0
ENSMUSG00000091318,0,0,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0,0,0
ENSMUSG00000104433,0,0,0,0,0,0,0,0
ENSMUSG00000089395,0,0,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0,0,0
ENSMUSG00000100481,0,0,0,0,0,0,0,0
ENSMUSG00000100590,0,0,0,0,2,0,0,0
ENSMUSG00000088750,0,0,0,0,0,0,0,0
ENSMUSG00000104230,1,0,0,0,0,0,0,0
ENSMUSG00000101754,0,0,0,0,0,0,0,0
ENSMUSG00000065223,0,0,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0,0,0
ENSMUSG00000101612,0,0,0,0,0,0,0,0
ENSMUSG00000065260,0,0,0,0,0,0,0,0
ENSMUSG00000026134,120,252,98,108,181,54,88,155
ENSMUSG00000101682,1,0,0,0,2,0,1,0
ENSMUSG00000102714,1,9,0,6,0,1,0,8
ENSMUSG00000102093,0,1,0,1,0,0,0,0
ENSMUSG00000103746,4,14,6,8,1,2,9,14
ENSMUSG00000102198,0,0,0,0,0,1,0,0
ENSMUSG00000004768,111,171,106,118,161,26,65,160
ENSMUSG00000042215,77,101,61,57,87,20,50,77
ENSMUSG00000103072,1,0,0,0,0,0,0,1
ENSMUSG00000042197,396,520,508,461,690,110,296,718
ENSMUSG00000081402,1,3,0,2,2,1,1,2
ENSMUSG00000042182,47,54,62,42,42,8,16,34
ENSMUSG00000104416,0,0,0,1,0,0,0,0
ENSMUSG00000026131,5954,2868,4570,4647,4268,723,2615,3682
ENSMUSG00000103596,0,1,0,0,3,0,0,1
ENSMUSG00000099382,1,0,0,0,0,0,0,0
ENSMUSG00000084506,5,12,3,1,4,3,6,2
ENSMUSG00000103364,6,6,11,5,14,4,9,11
ENSMUSG00000105982,1,1,0,0,5,0,0,3
ENSMUSG00000096992,8,3,10,13,12,2,6,9
ENSMUSG00000103001,0,1,1,0,3,0,0,0
ENSMUSG00000104397,0,0,0,0,0,0,0,0
ENSMUSG00000102839,0,0,0,0,0,0,0,0
ENSMUSG00000101206,0,1,0,1,1,3,0,0
ENSMUSG00000101462,0,2,0,0,0,0,0,0
ENSMUSG00000102336,5,6,6,4,8,0,2,0
ENSMUSG00000092852,0,0,0,0,0,0,0,0
ENSMUSG00000042111,174,202,181,141,226,46,109,175
ENSMUSG00000101711,2,5,2,0,3,1,0,4
ENSMUSG00000026127,1134,1259,1067,500,1638,351,651,1013
ENSMUSG00000026126,110,55,132,22,87,5,95,31
ENSMUSG00000100280,1,3,4,0,2,0,1,0
ENSMUSG00000101223,0,0,0,0,0,0,0,0
ENSMUSG00000026125,0,0,0,0,0,0,0,0
ENSMUSG00000101116,0,0,0,0,0,0,0,0
ENSMUSG00000026124,0,0,0,0,0,0,0,0
ENSMUSG00000101803,0,0,0,0,0,0,0,0
ENSMUSG00000037529,0,0,0,0,0,0,0,0
ENSMUSG00000045815,0,0,1,0,2,0,0,0
ENSMUSG00000045174,0,0,0,0,2,0,0,2
ENSMUSG00000100524,0,0,0,0,0,0,0,0
ENSMUSG00000102499,0,0,0,0,2,0,0,0
ENSMUSG00000103521,0,1,0,0,2,0,0,0
ENSMUSG00000104098,0,2,1,0,1,0,1,0
ENSMUSG00000037509,8778,5252,7018,3426,9287,1663,5107,5633
ENSMUSG00000102537,0,0,0,3,0,0,0,0
ENSMUSG00000102612,0,0,1,1,0,0,0,2
ENSMUSG00000118272,0,0,0,0,0,0,0,0
ENSMUSG00000104002,93,127,91,99,54,36,90,88
ENSMUSG00000037503,8591,10657,9304,4651,11118,2799,5328,8785
ENSMUSG00000104358,67,68,63,65,113,23,45,118
ENSMUSG00000026123,1306,1121,1184,298,1722,277,719,822
