,gene_name,gene_id
421,Tmem198,ENSMUSG00000051703.14
422,Inha,ENSMUSG00000032968.4
423,Stk11ip,ENSMUSG00000026213.15
424,Slc4a3,ENSMUSG00000006576.16
425,Gm816,ENSMUSG00000100534.1
426,Epha4,ENSMUSG00000026235.14
427,Gm28386,ENSMUSG00000101849.1
428,Pax3,ENSMUSG00000004872.15
429,Sgpp2,ENSMUSG00000032908.9
430,Farsb,ENSMUSG00000026245.16
431,Mogat1,ENSMUSG00000012187.13
432,5730419F03Rik,ENSMUSG00000099364.1
433,Gm29611,ENSMUSG00000100562.1
434,Acsl3,ENSMUSG00000032883.15
435,Utp14b,ENSMUSG00000079470.8
436,Scg2,ENSMUSG00000050711.7
437,Ap1s3,ENSMUSG00000054702.14
438,Wdfy1,ENSMUSG00000073643.11
439,Mrpl44,ENSMUSG00000026248.9
440,Serpine2,ENSMUSG00000026249.10
441,9830004L10Rik,ENSMUSG00000099552.1
442,Fam124b,ENSMUSG00000043230.2
443,Cul3,ENSMUSG00000004364.14
444,Gm29125,ENSMUSG00000101722.1
445,Dock10,ENSMUSG00000038608.15
446,Nyap2,ENSMUSG00000054976.14
447,Irs1,ENSMUSG00000055980.2
448,Rhbdd1,ENSMUSG00000026142.15
449,Col4a4,ENSMUSG00000067158.9
450,Col4a3,ENSMUSG00000079465.8
451,C430014B12Rik,ENSMUSG00000097564.2
452,Mff,ENSMUSG00000026150.14
453,Tm4sf20,ENSMUSG00000026149.2
454,Agfg1,ENSMUSG00000026159.13
455,A030005L19Rik,ENSMUSG00000113880.1
456,A030014E15Rik,ENSMUSG00000113973.1
457,Slc19a3,ENSMUSG00000038496.16
458,Gm47969,ENSMUSG00000113267.1
459,Krtap28-13,ENSMUSG00000101315.1
460,Daw1,ENSMUSG00000053161.16
461,Sphkap,ENSMUSG00000026163.17
462,4933436I20Rik,ENSMUSG00000100580.6
463,Pid1,ENSMUSG00000045658.16
464,Dner,ENSMUSG00000036766.12
465,Trip12,ENSMUSG00000026219.14
466,Fbxo36,ENSMUSG00000073633.9
467,Slc16a14,ENSMUSG00000026220.6
468,Sp110,ENSMUSG00000070034.13
469,Sp140,ENSMUSG00000070031.11
470,Sp100,ENSMUSG00000026222.16
471,A630001G21Rik,ENSMUSG00000052760.16
472,9930111H07Rik,ENSMUSG00000100217.1
473,Cab39,ENSMUSG00000036707.16
474,Itm2c,ENSMUSG00000026223.15
475,4933407L21Rik,ENSMUSG00000026224.11
476,Gpr55,ENSMUSG00000049608.8
477,Spata3,ENSMUSG00000026226.16
478,2810459M11Rik,ENSMUSG00000026227.11
479,Psmd1,ENSMUSG00000026229.17
480,Armc9,ENSMUSG00000062590.13
481,B3gnt7,ENSMUSG00000079445.3
482,Ncl,ENSMUSG00000026234.12
483,C130036L24Rik,ENSMUSG00000073627.7
484,Ptma,ENSMUSG00000026238.14
485,Pde6d,ENSMUSG00000026239.14
486,Cops7b,ENSMUSG00000026240.12
487,Nppc,ENSMUSG00000026241.5
488,Dis3l2,ENSMUSG00000053333.15
489,Gm28375,ENSMUSG00000099401.1
490,Alpi,ENSMUSG00000079440.2
491,Gm29374,ENSMUSG00000099839.1
492,Ecel1,ENSMUSG00000026247.13
493,Prss56,ENSMUSG00000036480.9
494,Chrnd,ENSMUSG00000026251.13
495,Chrng,ENSMUSG00000026253.14
496,Eif4e2,ENSMUSG00000026254.17
497,Efhd1,ENSMUSG00000026255.15
498,Gigyf2,ENSMUSG00000048000.15
499,Snorc,ENSMUSG00000026258.5
500,Ngef,ENSMUSG00000026259.14
501,Neu2,ENSMUSG00000079434.8
502,Inpp5d,ENSMUSG00000026288.14
503,Atg16l1,ENSMUSG00000026289.15
504,Sag,ENSMUSG00000056055.13
505,Dgkd,ENSMUSG00000070738.10
506,Usp40,ENSMUSG00000005501.14
507,Ugt1a7c,ENSMUSG00000090124.7
508,Mroh2a,ENSMUSG00000079429.9
509,Hjurp,ENSMUSG00000044783.16
510,Trpm8,ENSMUSG00000036251.16
511,Spp2,ENSMUSG00000026295.12
512,Gm29538,ENSMUSG00000099553.1
513,Glrp1,ENSMUSG00000062310.7
514,Gm19589,ENSMUSG00000100798.1
515,Gm29336,ENSMUSG00000100367.1
516,Arl4c,ENSMUSG00000049866.12
517,Sh3bp4,ENSMUSG00000036206.12
518,Gm28342,ENSMUSG00000101288.1
519,Agap1,ENSMUSG00000055013.16
520,Gbx2,ENSMUSG00000034486.8
521,D130058E05Rik,ENSMUSG00000092627.2
522,Asb18,ENSMUSG00000067081.13
523,Iqca,ENSMUSG00000026301.16
524,4930434B07Rik,ENSMUSG00000100850.1
525,Ackr3,ENSMUSG00000044337.5
526,Gm28723,ENSMUSG00000101028.1
527,Cops8,ENSMUSG00000034432.11
528,Col6a3,ENSMUSG00000048126.16
529,Mlph,ENSMUSG00000026303.6
530,Prlh,ENSMUSG00000090550.2
531,Rab17,ENSMUSG00000026304.13
532,Lrrfip1,ENSMUSG00000026305.15
533,Rbm44,ENSMUSG00000070732.2
534,Ramp1,ENSMUSG00000034353.14
535,Ube2f,ENSMUSG00000034343.14
536,Scly,ENSMUSG00000026307.12
537,Espnl,ENSMUSG00000049515.12
538,Klhl30,ENSMUSG00000026308.8
539,Erfe,ENSMUSG00000047443.14
540,Ilkap,ENSMUSG00000026309.14
541,Hes6,ENSMUSG00000067071.8
542,Per2,ENSMUSG00000055866.9
543,Traf3ip1,ENSMUSG00000034292.13
544,Asb1,ENSMUSG00000026311.16
545,Gm29100,ENSMUSG00000100980.1
546,Twist2,ENSMUSG00000007805.4
547,Hdac4,ENSMUSG00000026313.16
548,Ndufa10,ENSMUSG00000026260.12
549,Olfr1416,ENSMUSG00000067064.4
550,Cops9,ENSMUSG00000073616.10
